age,education,marital_status,worker_class,occupation_code,hours_per_week,sex,race,income,state,income_estimate_from_peers
54,18.0,Never married,"Private, non-profit",4720,39.0,Female,8,8000.0,6,12105.0
64,21.0,Married,"Private, for-profit",140,40.0,Male,1,82000.0,6,86261.0
38,19.0,Married,"Private, for-profit",7000,38.0,Female,1,59000.0,6,60754.0
30,,Married,"Private, for-profit",3300,40.0,Female,1,40000.0,6,45039.0
46,19.0,Never married,"Private, for-profit",4020,30.0,Male,6,23000.0,6,25869.0
31,21.0,Married,"Private, for-profit",4710,80.0,Male,6,107400.0,6,98388.0
48,,Married,"Private, for-profit",9130,35.0,Male,6,15500.0,6,19080.0
49,14.0,Married,"Private, for-profit",6040,35.0,Female,1,8900.0,6,11939.0
54,13.0,Married,"Private, for-profit",9130,56.0,Male,1,60000.0,6,66320.0
62,19.0,Divorced,Local government,3300,,Male,2,49000.0,6,39360.0
28,20.0,Never married,"Private, for-profit",960,40.0,male,8,54000.0,6,55564.0
59,22.0,Widowed,"Private, for-profit",4710,30.0,Female,1,60000.0,6,73711.0
28,18.0,Married,"Private, for-profit",4020,8.0,Male,1,60450.0,6,54552.0
36,19.0,Married,"Private, for-profit",7210,40.0,Male,1,57000.0,6,64539.0
26,21.0,Never married,Local government,2320,15.0,Male,1,1500.0,6,1790.0
62,,Divorced,"Private, for-profit",565,-1.0,Male,1,156000.0,6,159875.0
41,18.0,Separated,"Private, for-profit",4850,40.0,Male,1,35000.0,6,28263.0
54,19.0,Married,Local government,2545,20.0,Female,9,15000.0,6,15519.0
41,22.0,Never married,"Self-employed, unincorporated",10,50.0,Female,1,180000.0,6,175735.0
65,16.0,Divorced,"Self-employed, unincorporated",6355,40.0,Male,1,34300.0,6,33423.0
50,16.0,Married,"Self-employed, incorporated",5120,20.0,Female,1,40000.0,6,41640.0
30,21.0,Never married,"Private, for-profit",20,50.0,FEMALE,1,48000.0,6,44954.0
34,,Married,"Private, for-profit",800,40.0,Female,6,25000.0,6,30191.0
44,19.0,Married,"Private, for-profit",4010,40.0,Female,1,27000.0,6,36650.0
57,1.0,Never married,"Private, for-profit",410,,male,1,43000.0,6,34284.0
